Codigo;Nome
ESP312;Gestão Escolar
ED010-AP;Administração Pública
ESP920;Atividade Física e Saúde
ESP921;Educação e Formação Empreendedora
ESP922;Ensino de Sociologia para o Ensino Médio
ESP923;Ensino de Filosofia no Ensino Médio
ESP924;Ensino e Pesquisa na Ciência Geográfica
ESP925;Perspectiva de Ensino de História do Brasil
ESP926;Intervenção Sociocultural para Contextos Escolares e Não Escolares
ESP927;Ensino de Matemática no Ensino Médio
ESP928;Gestão da Informação e do Conhecimento
ESP929;LIBRAS - Língua Brasileira de Sinais
